,Star_name,Distance,Mass,Radius
0,SDSS J000013.54+255418.6 [de],46.1,48,0.99
2,2MASS J00040288-6410358,192.0,19,1.63
4,2MASS J00242463-0158201,37.7,79,1.09
6,2MASS J00274197+0503417,236.0,31,1.44
8,2MASSW J0030300-145033,87.2,54,0.98
9,2MASS J00332386-1521309 [de],131.0,29,1.43
10,2MASS J00345157+0523050,31.0,42,0.94
11,2MASS 0036+1821,28.6,42,0.94
12,2MASSW J0045214+163445,57.0,23,1.62
13,WISEP J004701.06+680352.1 [fr],40.0,12,1.3
14,2MASS J00501994-3322402 [de],34.0,40,0.94
16,2MASS J00584253-0651239 [de],96.0,29,1.43
18,2MASSI J0103320+193536,70.0,52,0.98
19,SDSSp J010752.33+004156.1 [de],51.0,52,0.98
20,2MASSI J0117474-340325 [de],163.0,20,1.62
21,2MASS J01415823-4633574 [de],130.0,20,1.61
22,SDSS J015141.69+124429.6,70.0,47,0.97
26,SDSS J020742.48+000056.2 [de],111.0,47,0.97
27,2MASS J02103857-3015313,101.0,15,1.53
28,2MASS J02340093-6442068,155.0,20,1.62
29,2MASS J02411151-0326587 [de],152.0,27,1.41
30,2MASS J02431371−2453298,35.0,33,0.99
31,LP 771-21,53.0,78,1.08
33,Teegarden's star,12.578,80,1.27
34,2MASS J02535980+3206373,184.0,65,1.9
35,WISE J0254+0223,24.0,65,1.9
36,DEN 0255-4700,16.2,80,0.97
37,2MASS J03185403-3421292 [de],45.0,49,0.97
38,2MASS J03205965+1854233,47.0,88,1.15
39,2MASS J03231002-4631237,192.0,23,1.66
40,SDSS J032553.17+042540.1,59.0,45,0.95
41,2MASS J03264225-2102057 [de],80.0,18,1.3
42,2MASS J03284265+2302051 [de],98.0,54,0.98
43,2MASS J03341218-4953322,27.0,73,1.04
44,LP 944-20,20.9,73,1.43
45,2MASP J0345432+254023,88.0,74,1.05
46,Teide 1,380.0,55,3.78
47,2MASS J03510004-0052452,48.0,102,1.27
48,2MASS J03552337+1133437,29.8,20,1.32
50,2MASS J04151954−0935066,18.6,30,0.95
52,2MASS J04285096-2253227 [de],85.0,80,1.09
53,2MASS J04351612-1606574,34.0,100,1.26
54,2MASS J04362788-4114465,142.0,39,1.97
55,2MASS J04390101-2353083 [de],29.5,48,0.97
57,2MASS J04433764+0002040,82.0,22,1.78
58,2MASS J04455387-3048204 [de],42.0,64,1.0
59,2MASS J04510093-3402150 [de],69.0,72,1.04
60,2MASS J05002100+0330501 [de],44.0,64,1.0
61,2MASS J05012406-0010452 [de],64.0,21,1.38
62,2MASS J05160945-0445499 [de],73.0,47,0.97
63,2MASS J0523−1403,40.0,68,1.01
65,SDSS J053951.99-005902.0,41.62,61,1.01
67,LSR 0602+3910 [de],34.6,28,1.41
68,2MASS J06085283-2753583,102.0,38,1.51
71,2MASS J06244595-4521548 [de],39.0,56,0.99
72,2MASS J06411840-4322329 [de],65.0,67,1.01
73,DENIS-P J0652197-253450 [de],51.0,75,1.05
75,2MASS J07075327-4900503,60.0,72,1.03
76,UGPS J072227.51-054031.2,13.4,26,0.98
77,2MASSI J0727182+171001 [de],29.6,41,0.94
78,2MASS J07290002-3954043 [de],25.8,37,0.94
79,SDSS J074201.41+205520.5 [de],49.0,43,0.94
81,DENIS-P J0751164-253043 [de],55.0,71,1.03
82,2MASS J07522390+1612157,60.0,68,2.01
83,DENIS J081730.0-615520,16.1,44,0.94
86,2MASS J08251968+2115521 [de],35.0,52,0.98
87,SDSSp J083008.12+482847.4 [de],43.0,48,0.99
88,LHS 2021,55.0,88,1.15
89,SDSS J083048.80+012831.1 [de],77.0,46,0.96
90,2MASSI J0835425-081923 [de],23.53,62,1.0
91,2MASSI J0847287-153237 [de],43.0,64,1.0
92,2MASS J08533619-0329321,27.6,77,1.07
93,2MASSI J0859254-194926 [de],50.0,50,0.98
95,2MASSI J0937347+293142,20.0,42,0.94
96,2MASS 0939−2448,17.4,32,0.95
97,2MASS J09490860-1545485 [de],59.0,49,0.96
98,2MASS J10073369-4555147,46.0,44,0.94
99,2MASSI J1010148-040649 [de],55.0,51,0.98
102,2MASS J10224821+5825453 [de],60.0,27,1.41
103,2MASSW J1036530-344138 [de],53.0,49,0.97
104,2MASS J1047538+212423 [de],34.4,42,0.94
105,DEN 1048-3956,13.15,77,1.07
106,Luhman 16B,6.516,43,1.02
107,Luhman 16A,6.516,40,1.01
108,DENIS-P J1058.7−1548,49.0,64,1.0
109,TWA 28,180.0,36,2.39
110,Cha 110913-773444,163.0,8,1.8
112,SDSS J111010.01+011613.1,63.0,9,1.24
113,2MASS J11145133−2618235,18.2,33,0.96
114,TWA 26,137.0,30,2.2
116,2MASS J11544223-3400390 [de],129.0,37,1.5
117,2MASSW J1155395-372735 [de],31.0,64,1.0
120,2MASS J12074836-3900043,217.0,17,1.71
121,2MASSI J1217110-031113 [de],36.0,42,0.94
124,2M 1237+6526,45.6,41,0.94
126,TWA 29,262.0,25,2.0
127,SDSSp J125453.90-012247.4 [de],38.0,47,0.98
128,Kelu-1A,61.0,63,0.98
129,Kelu-1B,61.0,58,0.98
130,2MASS J13204427+0409045,101.0,67,1.01
131,SDSSp J132629.82-003831.5 [de],65.0,51,0.97
132,SDSSp J134646.45-003150.4 [de],48.0,44,0.94
133,2MASS J13595510-4034582,51.0,63,1.0
134,ULAS J141623.94+134836.3,29.7,32,0.96
135,SDSS J141659.78+500626.4 [de],149.0,59,0.99
136,DENIS-P J142527.97-365023.4 [de],38.0,21,1.32
137,LHS 2924,38.5,76,1.06
138,2MASS J14392837+1929150,47.0,72,1.03
139,LSPM J1440+1339,72.0,92,1.19
140,2MASS J14482563+1031590 [de],47.0,59,0.99
141,CFBDSIR 1458+10A,104.0,11.1,1.5
142,CFBDSIR 1458+10B,104.0,9,1.3
143,TVLM 513-46546,35.1,75,1.05
144,2MASS 1503+2525,20.7,44,0.94
145,CFBDS J150411+102717,71.0,44,0.94
146,2MASSW J1506544+132106 [de],46.0,69,1.02
147,2MASS 1507−1627,23.9,60,0.99
148,TVLM 868-110639,53.0,79,1.08
150,2MASSW J1515008+484742 [de],34.0,57,0.99
151,2MASSI J1526140+204341 [de],67.0,54,0.98
152,DENIS-P J153941.96-052042.4 [de],51.0,63,1.0
153,2MASS J15462718-3325111 [de],37.0,44,0.94
154,2MASSW J1552591+294849 [de],68.0,30,1.43
155,2MASSW J1555157-095605 [de],44.0,71,1.03
156,2MASS J16150413+1340079 [de],48.0,42,0.94
157,SDSSp J162414.37+002915.6 [de],36.0,43,0.94
158,2MASS J16262034+3925190 [de],110.0,71,1.03
159,2MASSW J1632291+190441 [de],50.0,49,0.97
